Komentar,Timestamp,Platform,Sentimen
"he cried for him career, not crying regret for Kim Saeron",2025-01-04 00:00:00,Tiktok,negatif
"plis deh dia nangis karena karir nya hancur, bukan karena Kim saeron",2025-01-04 00:00:00,Tiktok,negatif
"inget ya gays yg speak up bukan cuma keluarga mendiang Kim saeron, tapi juga kakanya mendiang Sulli yang di mana Sulli sendiri dia meninggal Uda lama,tiba² ikut speak up,jelas itu bukan tanpa alasan.",2025-01-04 00:00:00,Tiktok,netral
JUSTICE FOR KIM SOO HYUN ??????,2025-01-04 00:00:00,Tiktok,netral
akting nangisnya kayak di Queen of tears,2025-01-04 00:00:00,Tiktok,netral
"kata gua sihh udah, jngn sampe kim sohyun nyusul kim saeron",2025-01-04 00:00:00,Tiktok,positif
"drakor ""king of tears""",1931-03-01 00:00:00,Tiktok,netral
"KSH itu salah satu aktor yg dikenal dgn kemampuan nangisnnya tuh bisa mendalami peran dan dapet bgt, terbukti di bbrp drama nya. Jadi gausa heran aja ini jago bgt acting nangisnya",2025-03-01 00:00:00,Tiktok,positif
@Ayangku:Catet: dia bukan nangisin alm kim saeron ya. Dia nangisin karirnya yg hancur.,2025-01-04 00:00:00,Tiktok,negatif
aku dukung kim soo hyun,2025-01-01 00:00:00,Tiktok,positif
udahlah susul sana Kim saeron??,2025-02-04 00:00:00,Tiktok,negatif
pkknya dia hrus nyusulin kim saeron,2025-01-04 00:00:00,Tiktok,negatif
i support Kim Soo hyun ??,2025-03-04 00:00:00,Tiktok,netral
walaupun dia terbukti salah gua g tega liat dia kalo di kemudian hari dia nyusul kim saeron,2025-01-01 00:00:00,Tiktok,positif
Maaf Kim Soo Hyun saya sudah tidak percaya lagi sama laki2 yang menangis,2025-03-01 00:00:00,Tiktok,netral
"please stop bashing him, I think he deserve to save his career cuz he is a good actor, he and Kim saeron had a past,but it's a past not his fault,I guess it's the society around her not him",2025-07-04 00:00:00,Tiktok,positif
king of tears ??,2025-01-04 00:00:00,Tiktok,netral
support kim soo hyun,3d ago,Tiktok,positif
King of tears and drama??,2025-05-04 00:00:00,Tiktok,netral
"apenihh..
deleted scene of queen of tears yah?????????",2025-01-04 00:00:00,Tiktok,netral
"selama ini kemana bang, adakah hari2mu mengenang mendiang dan menangis tersedu-sedu seperti itu dan mengingat kim sae ron?",2025-02-04 00:00:00,Tiktok,netral
"If only ,there's a footage of Kim Saeron crying after her hardworks, read a message about her 700million debt, and no one beside her ???? it'll be another heartbreak scene for me after WLGYT",2025-01-04 00:00:00,Tiktok,netral
justice for kim soo hyun??????,2025-03-04 00:00:00,Tiktok,netral
wow bnr kah dia benar benar menangis? lalu saat kebumikan nya Kim saeron knp dia melakukan pesta? dan tidak mungkin dia tidak tau tentang meninggal nya seseorang itu? dan acara kebumikan nya seseorang itu haha,2025-01-01 00:00:00,Tiktok,negatif
"@-????????:plis deh dia nangis karena karir nya hancur, bukan karena Kim saeron",2025-04-01 00:00:00,Tiktok,negatif
"he cried for him career, not crying regret for Kim Saeron",2025-07-04 00:00:00,Tiktok,negatif
takut kim sohyun ku nyusul kim saeron?????? g bermaksud ngebela tapi takuttt ??????????????,2025-01-01 00:00:00,Tiktok,netral
"netizen bner"" jahat yaa,pas kim saeron msih idup klian hujat abis""an dia mau d sosmed atau real life dia depresi krn netizen,trs skrg klian hujat ksy,gila si emg",2018-04-01 00:00:00,Tiktok,netral
"he cri ed for him career not crying reget for kim saeron ,??????????????????????????????",2020-04-01 00:00:00,Tiktok,netral
"di aku ga cocok, bikin mual",1931-03-01 00:00:00,Tiktok,negatif
paling habis itu main blockblast dibelakang,1931-03-01 00:00:00,Tiktok,negatif
"ingat gaez, dia aktor termahal lho. actingnya tidak diragukan ??",1931-03-01 00:00:00,Tiktok,negatif
"dia nangis bukan karena menyesal, tp lebih ke takut kalo karirnya hancur",1931-03-01 00:00:00,Tiktok,negatif
Tenang setelah itu dia minum utk ngisi air matanya. ??,1931-03-01 00:00:00,Tiktok,negatif
sedang mempraktekkan akting terbaiknya,2025-03-01 00:00:00,Tiktok,negatif
Tahu tak apa yang lebih menyakitkan? The fact that the late Sae Ron probably cried like this too when she was lost ab the whole situation but none….NO ONE HEARD HER.,2025-01-04 00:00:00,Tiktok,negatif
masuk mobil langsung “SHIBALLLL”,2025-01-04 00:00:00,Tiktok,negatif
"yatuhan nangisnya sampe kaya gt?? okeoke dimaafin, dan aku yakin kim sae ron jg ud tenang di alam sana??",2025-01-01 00:00:00,Tiktok,negatif
"inimahhhh akting anjirrrrrrr??????firasat wanita selalu benar,percaya deh??",1931-03-01 00:00:00,Tiktok,negatif
DIA NANGIS KARENA MIKIRIN NASIB NYA BUKAN MIKIRIN MENDIANG KIMSAERON,2025-03-04 00:00:00,Tiktok,negatif
"minum dulu, haus.",2025-01-04 00:00:00,Tiktok,negatif
"i just knew he went inside his car, cleaned his tears and said ahh shibal ???? (2)",2025-01-04 00:00:00,Tiktok,negatif
bro berfikir sedang syuting,1931-03-01 00:00:00,Tiktok,negatif
Udh selesai trus masuk mobil shiballlll sekiyaaaaa????,1931-03-01 00:00:00,Tiktok,negatif
sedih gitu masih sempet hairdo ya bwanggg??????,1931-03-01 00:00:00,Tiktok,negatif
"guys remember, he's an actor",1931-03-01 00:00:00,Tiktok,negatif
king of tears just begin,1931-03-01 00:00:00,Tiktok,negatif
i support always Soo Hyun ??????????,1931-03-01 00:00:00,Tiktok,negatif
the king drama??,1931-03-01 00:00:00,Tiktok,negatif
"keren bgt aktingnya,dibunuh eps brp ?",1931-03-01 00:00:00,Tiktok,negatif
lagi akting,1931-03-01 00:00:00,Tiktok,negatif
"lagi syuting ""king of tears""",1931-03-01 00:00:00,Tiktok,negatif
i mean..hes an actor,2025-02-04 00:00:00,Tiktok,negatif
minum dulu supaya bisa one take ya ga belibet,1931-03-01 00:00:00,Tiktok,negatif
"People doubt his sincerity due to his acting background, but we can't judge him since we're not in his shoe.",2025-01-04 00:00:00,Tiktok,negatif
drama name?,1931-03-01 00:00:00,Tiktok,netral
tp knp dia br blg kalau dia prnh pacaran sm ksr? waktu itu agensinya GOLDMEDALIST itu bikin pernyataan dia gapernah pacaran sama ksr kan?,1931-03-01 00:00:00,Tiktok,negatif
judul drama?,1931-03-01 00:00:00,Tiktok,netral
LEBAY ANYING,1931-03-01 00:00:00,Tiktok,negatif
King of tears ????,1931-03-01 00:00:00,Tiktok,negatif
air mata 1M tiap episode,1931-03-01 00:00:00,Tiktok,negatif
Agus sediiiiih Agus sediiiih bangett,1931-03-01 00:00:00,Tiktok,negatif
"masing-masing perspektif aja, tapi menurutku setiap yang mempunyai kesalahan mereka punya kesempatan untuk berubah dan mereka berhak atas itu (untuk menebus kesalahannya).",1931-03-01 00:00:00,Tiktok,negatif
Tau kan kenapa dia jadi aktor termahal .. akting nangisnya gilee,1931-03-01 00:00:00,Tiktok,negatif
batuk saat Konferensi pers menurut psikolog,1931-03-01 00:00:00,Tiktok,netral
good acting ??,2025-01-04 00:00:00,Tiktok,positif
Don't judge people if you don't know the truth. ????,2025-01-04 00:00:00,Tiktok,positif
"pengen percaya, tapi dia aktor termahal .. ??",1931-03-01 00:00:00,Tiktok,netral
ulu ulu artis termahal nih boss wkwk,1931-03-01 00:00:00,Tiktok,negatif
Gue nunggu dugaan kim saeron punya sangkutan hutang dan ga pernah dibayar oleh agensi tapi ga ada klarifikasi nya sama sekali,2025-01-04 00:00:00,Tiktok,positif
"kalo nangis beneran biasanya muka, terutama idung sm mata merah gak sih??? apalagi kulitnya putih",1931-03-01 00:00:00,Tiktok,negatif
INI DRAMA JUDULNYA APA DEHH??,1931-03-01 00:00:00,Tiktok,netral
Drama king??,1931-03-01 00:00:00,Tiktok,netral
Good Acting,1931-03-01 00:00:00,Tiktok,positif
"masalahnya itu nangisnya tulus apa akting, soalnya kan pernah jadi aktor termahal",2025-01-04 00:00:00,Tiktok,netral
KEK NONTON KING OF TEARS HAHAHA,2025-01-04 00:00:00,Tiktok,negatif
Seeing him cry really breaks my heart????????,2025-02-04 00:00:00,Tiktok,positif
"baru kali ini liat KSH nangis, gaikutan nangis.",1931-03-01 00:00:00,Tiktok,netral
"Kereen kali ya actingnyaa,, ??",1931-03-01 00:00:00,Tiktok,positif
bagi dia dunianya runtuh tp bagi KSR dunianya berakhir benar benar berakhir??,1931-03-01 00:00:00,Tiktok,netral
I always support Soo hyun be strong ??????????,2025-03-04 00:00:00,Tiktok,positif
dia akting ga sii????,2025-01-04 00:00:00,Tiktok,netral
Ikut nangis krna gatau apa yg dia omongin anj????,1931-03-01 00:00:00,Tiktok,positif
semoga permintaan dia tulus dr dlm hati ????,2025-01-04 00:00:00,Tiktok,positif
"gw tuh orang nya curigaan, apalagi dia tuh aktor mahal????",1931-03-01 00:00:00,Tiktok,negatif
please don't cry ?? we are supporting you ??????,2025-03-04 00:00:00,Tiktok,positif
ini drakor kim soo hyun yg judulnya apaa,2025-01-04 00:00:00,Tiktok,netral
ini temen² kerja dia yg seprofesi gada yg ilfeel apa yaa sama kelakuannya si kim cangcut? gue liat nya aja muak anyinggg??,1931-03-01 00:00:00,Tiktok,negatif
"Biasanya klo kita lihat orang nangis jd pengen ikutan nangis, tp yg ini kok gak ya.. ??",1931-03-01 00:00:00,Tiktok,netral
"WOW , A HEARTLESS PLAYBOY CAN CRY , CRY",2025-03-04 00:00:00,Tiktok,negatif
di queen of tears aj dia nangis mulu?? pdhal jelas judulnya ap,2025-01-04 00:00:00,Tiktok,netral
drama name?,2025-02-04 00:00:00,Tiktok,netral
"kak drakor apa kak, baru kah ini??",1931-03-01 00:00:00,Tiktok,netral
i believe him??????,2025-01-04 00:00:00,Tiktok,positif
"tp emg actingnya bagus bgt, gue sedi bgtttt",1931-03-01 00:00:00,Tiktok,positif
keep strong oppa,1931-03-01 00:00:00,Tiktok,positif
hanya Tuhan yang tahu,2025-01-04 00:00:00,Tiktok,positif
king of tears??,2025-01-04 00:00:00,Tiktok,netral
"persis nangisnya kek di drama"" nya",1931-03-01 00:00:00,Tiktok,negatif
Inget dia dulu aktor bayaran termahal kack????????,1931-03-01 00:00:00,Tiktok,netral
reflek mual satu minggu,2025-01-04 00:00:00,Tiktok,negatif
playing victim,2025-01-04 00:00:00,Tiktok,negatif
dia kan aktor termahal ?? jelas nangisnya mendalami wkwk,2025-01-04 00:00:00,Tiktok,negatif
pinter banget aktingnya,2025-01-04 00:00:00,Tiktok,positif
I really don’t support SoHyun but here I don’t think he’s acting throughout the entire press. The things he said might be fake but the tears are real I guess. Cause his heart knows he’s anyhow a part of her death. He is hurt inside and is going thru a lot these days. Seeing everything what he has developed for ages colliding infront of his eyes in a minute is not easy tbh. So we can’t lose another person again. So let’s stop hating. He’s already suffering for his faults,2025-01-04 00:00:00,Tiktok,positif
dia aktor kak ingett itu,1931-03-01 00:00:00,Tiktok,netral
kaya lagi nonton drakor,2025-01-04 00:00:00,Tiktok,netral
justice for Kim soonghyun ???????,2025-01-04 00:00:00,Tiktok,positif
asli ga pernah se enegh ini,1931-03-01 00:00:00,Tiktok,negatif
?????: jir baru kali ini akting ga dibayar,1931-03-01 00:00:00,Tiktok,negatif
damn he cry’s better than me ??,2025-01-04 00:00:00,Tiktok,negatif
"Kasihan bgt sebenarnya liat kim soo hyun nangis sesegukan, gimana pun dia pernah aku gemari. dan saat itu aku juga blum knl kim sae ron, tpi begitu kasus kematiannya terumbar
sedih juga sihh.",2025-03-04 00:00:00,Tiktok,positif
"I support ""star kim soo hyun""",2025-03-04 00:00:00,Tiktok,positif
Don’t forget he’s an actor,2025-01-04 00:00:00,Tiktok,netral
Cut. Didn't have any feel. You should retake this scene again,2025-01-04 00:00:00,Tiktok,negatif
bukannya iba malah pgn nyirem air jir,1931-03-01 00:00:00,Tiktok,negatif
ini bts nya qot atau one ordinary day?,1931-03-01 00:00:00,Tiktok,netral
plot twis tiba²ikutin kim saeron????,2025-01-04 00:00:00,Tiktok,negatif
Nice acting??,2025-01-04 00:00:00,Tiktok,positif
mau percaya tapi dia aktor termahal,2025-01-04 00:00:00,Tiktok,netral
"be strong Sonn Hyun ??
Nepal",2025-02-01 00:00:00,Tiktok,positif
King of tears ini mahh??,2025-01-01 00:00:00,Tiktok,netral
"I really don’t understand what’s going on in Korea right now. After bullying Sea Ron to death, now Kim Soo Hyun is their next target? This level of toxicity is unbelievable.",2025-05-01 00:00:00,Tiktok,netral
always keep strong baby????,2025-01-01 00:00:00,Tiktok,positif
Setelah konferensi press “gimana acting nangis gw meyakinkan gk”,1931-03-01 00:00:00,Tiktok,negatif
"omg diaa belum stress gaess, rambut nya masi rapih dan kulit nya masi bersinarr",2025-01-01 00:00:00,Tiktok,negatif
persis kek dia lg masn drakor,2025-03-01 00:00:00,Tiktok,negatif
"Before this, everyone hated Sae-ron no one defended her, like literally NO ONE But now? Suddenly full of sympathy. Where were you before? Do people have to die first to be treated with kindness?",2025-01-01 00:00:00,Tiktok,positif
judul drama?,1931-03-01 00:00:00,Tiktok,netral
CUT!!!! King of tears ??,1931-03-01 00:00:00,Tiktok,netral
ini episode berapa dia dibunuh??,2025-01-04 00:00:00,Tiktok,netral
"new drama coming soon ""KING OF TEARS""",2025-01-04 00:00:00,Tiktok,netral
King of tears lol,1931-03-01 00:00:00,Tiktok,negatif
even aktor termahal pun ga bisa acting menyerupai diri sendiri??,1931-03-01 00:00:00,Tiktok,netral
l Support you Kim so hyun ????????,2025-03-04 00:00:00,Tiktok,positif
ga pernah se muak ini sama org ganteng ??,2025-01-04 00:00:00,Tiktok,netral
jangan lupa dia aktor terbaik di korea,1931-03-01 00:00:00,Tiktok,netral
Which series has performed very well?,2025-01-04 00:00:00,Tiktok,positif
Aktor mah acting nya warrrrrrrrbiasaahh???,1931-03-01 00:00:00,Tiktok,netral
"Outfit udah, hair do udah, make up udah on, Best semua. Script OK, acting nangis perfect bgd akhirnya lanjutan Queen of tears ada yaitu ""King of tears""",2025-01-04 00:00:00,Tiktok,positif
Inget ya dia aktor bayaran termahal!!! Jadi jangan di ragukan lagi kalo masalah akting,2025-01-04 00:00:00,Tiktok,netral
Air mata buaya..,1931-03-01 00:00:00,Tiktok,netral
I believe him.,2025-01-04 00:00:00,Tiktok,netral
aktingnya bagus bat,1931-03-01 00:00:00,Tiktok,netral
mau kasian tapi bingung dia nangis beneran apa acting,1931-03-01 00:00:00,Tiktok,netral
"people today are so quick to judge based on what they have read, heard, or seen. we were never part of their relationship, so who are we to judge them? we don't even know the whole story!",2025-05-04 00:00:00,Tiktok,positif
The king of tears ????,2025-01-04 00:00:00,Tiktok,netral
gue gak bisa bedain dia nangis beneran apa enggak soalnya kayak sama banget sama nangisnya dia yang di drama??,2025-01-04 00:00:00,Tiktok,netral
sedang melakukan pekerjaan nya.. good job ..,1931-03-01 00:00:00,Tiktok,positif
"beneran nangis kok gais ini ,tpi nangis krn ketahuan :v",2025-01-04 00:00:00,Tiktok,netral
namanya booming karena akting nangisnya di Moon Embraces the Sun tahun 2012 lalu ingat banget sampai jd drama nasional rating 40% lebih jg disebar k bbrp negara. Makanya dia disebut salah satu Hallyu star,1931-03-01 00:00:00,Tiktok,netral
good job actingnya gausa diragukan lg yah,1931-03-01 00:00:00,Tiktok,positif
sedih banget sampe pengen kentut,1931-03-01 00:00:00,Tiktok,netral
manipulatif,2025-01-04 00:00:00,Tiktok,netral
duh makasih udah effort nangis tapi aku ga kasian ??,2025-01-04 00:00:00,Tiktok,negatif
queen of tears ? king of tears ?,2025-01-04 00:00:00,Tiktok,netral
king of tears,2025-01-04 00:00:00,Tiktok,netral
mau kasihan tapi dia jago acting ??,2025-01-04 00:00:00,Tiktok,netral
"akting nya bgs, pantes aktor termahal..",2025-01-04 00:00:00,Tiktok,netral
ko aku gak sedih ya malah sedih liat woon bin memandang foto mending KSR pas melayat,1931-03-01 00:00:00,Tiktok,netral
knp ya aku liat aktor/artis nangis kurang percaya??,1931-03-01 00:00:00,Tiktok,netral
Gabisa bedain nangis benerannya sama akting ????????,1931-03-01 00:00:00,Tiktok,netral
ingat ya dia aktor terbaik dan termahal di Korea ?? mna yg real dan fake gak bisa kita bedakan ??,2025-03-04 00:00:00,Tiktok,negatif
maluuu ihhh,2025-02-04 00:00:00,Tiktok,netral
"We want justice for Kim Sae Ron. If you don't plan on ruining her life, then find evidence that you didn't do it. Don't just cry.",2025-02-04 00:00:00,Tiktok,netral
"busuk bener hati ini
""ingat, dia aktor....nangis seperti ini udah jadi harian""????",2025-01-04 00:00:00,Tiktok,netral
ingat ya DIA AKTOR. Akting nangis mah udah biasaaaaaa??,2025-01-04 00:00:00,Tiktok,netral
"Kasihan sih, tp lebih kasihan ke sae ron??",2025-01-04 00:00:00,Tiktok,netral
Dari dulu lo emang paling jago acting nangis????????????,2025-01-04 00:00:00,Tiktok,netral
Oppa aku lbh respect kamu tulus minta maaf ke keluarga,1931-03-01 00:00:00,Tiktok,netral
ini eps brp ya?,1931-03-01 00:00:00,Tiktok,netral
the real drama king,1931-03-01 00:00:00,Tiktok,positif
tayang dmn ini dramanya?,1931-03-01 00:00:00,Tiktok,netral
ini nangis bener atau akting ya? soalny kan aktor mahal,1931-03-01 00:00:00,Tiktok,netral
I'm not defending anyone but you guys are jumping to conclusions without knowing the truth. stop taking up other peoples problems on your heads.,2025-03-04 00:00:00,Tiktok,negatif
"jan terkecoh gais, dia aktor wajar nangisnya menghayati??",2025-02-04 00:00:00,Tiktok,netral
jangan lupa yang dia actor ??,2025-01-04 00:00:00,Tiktok,netral
ini eps brpa ya,2025-01-04 00:00:00,Tiktok,netral
"pas pacaran ama kim sae ron dia emang pacaran sama sohee wonder girls sekitaran tahun 2017, udah jadi rahasia umum dia selalu bolak balik apartemen sohee",6d ago,Tiktok,netral
ahn so hee be like : bjirrr gue dibawa-bawa lagi hidup tenang2 nya ??,4d ago,Tiktok,netral
support Kim Soo Hyun ??,6d ago,Tiktok,netral
Lawannya kuat ya bakal kalah pihak sae ron,6d ago,Tiktok,netral
Star kim soo hyun??,6d ago,Tiktok,netral
lebih drama dari dramanya hybe njirr????,6d ago,Tiktok,netral
sohee wonder girls. ada beritanya,4d ago,Tiktok,netral
STaR kiM sOoHyuN ??,6d ago,Tiktok,netral
kim sae ron mengadu langsung ke pusatya,6d ago,Tiktok,netral
A itu ahn soo hee ex wonder girl yg dr idol jd aktris (maen film di train to busan) zaman it emang lg trkenal bgt wonder girl krn lagunya No body dll,6d ago,Tiktok,netral
emang pernah denger dia pernah pacaram sama sohee wonder girls. Selingkuh gitu??,6d ago,Tiktok,netral
tetap semangat Kim Soo Hyun ????????,4d ago,Tiktok,netral
support Kim Soo Hyun ??,6d ago,Tiktok,netral
Sulli kah? Eh,5d ago,Tiktok,netral
Star kim soo hyun,6d ago,Tiktok,netral
kimsoohyun ??????????,6d ago,Tiktok,netral
tim yang dukung kim Soo Hyun terus.,6d ago,Tiktok,netral
Always support Kim Soohyun ????????,4d ago,Tiktok,netral
KimSooHyun ??????,5d ago,Tiktok,netral
Lebih percaya KSR dr pada KSH ... sorry ??????,6d ago,Tiktok,negatif
byk alasan,6d ago,Tiktok,netral
"padahal masalahnya tuh ksh tuh pacaran sama bocil, masalah pacarnya/mantanya mereka siapa tuh kita ga peduli.",6d ago,Tiktok,netral
"HAHAHA kalo knetz udah jengkel jgn harap bisa eksis seperti semula, bakal dibahas 7 turunan?? yg punya skandal cinta sebelum debut aja diserang abis abisan, apalgi ini berhubungan dengan nyawa????",6d ago,Tiktok,positif
"2017-2019 pacaran sama orang lain, tpi di taun 2018 kirim surat ke KSR bilang merindukan mu, Hebat deh pokoknya KSH tuh",6d ago,Tiktok,netral
ga kelar kelar njirrr udah abis lebaran jugaa??????,6d ago,Tiktok,netral
Udah episode berapa ini? Lama amat ga tamat2,6d ago,Tiktok,netral
"hehe gede juga duit ini orang muter2 aja terus dari mengelak terus mengakui, terus keciduk dan klarifikasi, mengelak lagi mengakui lagi, muter2 lagi, terus aja gitu",6d ago,Tiktok,netral
"lebih masuk akal ini,kalo Garo lovers masih percaya junjungannya yaa itumah hak kalian.dan kebenaran,lambat laun pasti kebongkar baik dari pihak Soohyun/mending tenang aja tuhan gak tidur.",6d ago,Tiktok,netral
muterr aja teros ??,6d ago,Tiktok,netral
Tetap kuat oppakuu??,6d ago,Tiktok,netral
"tetep semangat somen, perlahan tapi pasti kebenaran akan menemukan jalannya, kmu hanya perlu berjuang lewat jalur hukum",6d ago,Tiktok,netral
bukan kemarin berita nya punya banyak selir ya? ya itu mungkin selir nya ga sih ??,6d ago,Tiktok,netral
tadi baca katanya mantan ksh yang ini bakal bantu jadi saksi pas persidangan nanti.semoga secepatnya ada titik terang,6d ago,Tiktok,netral
ga kelar2 jg ni kim dangdut,6d ago,Tiktok,netral
Fighthing soohyun????,6d ago,Tiktok,netral
"apa lagi ini..dgn up pacar lain biar di kasihani dunia,supaya segera comeback..gitu",6d ago,Tiktok,netral
Dia jagonya akting nangis??,6d ago,Tiktok,netral
aku lbh mndukung KSH lh.,6d ago,Tiktok,netral
gak percaya keluarganya alm ksr lebih percaya bukti dipengadilan ??,6d ago,Tiktok,netral
"KSH nih salah nya adalah pas dulu foto kesebar ga ngakuin, makanya sampai sekarang masih banyak yang raguu",6d ago,Tiktok,netral
TDK perna semuak ini lihat aktor korea??,6d ago,Tiktok,netral
inti nya yang tahu kalo bukan sahabat dekat nya Yo keluarga yang jadi tempat curhat KSR,6d ago,Tiktok,netral
Tebak berapa kali beliau bilang star ksh??,6d ago,Tiktok,netral
pantas jadi aktor bayaran termahal??,6d ago,Tiktok,netral
pokoknya klo GK ngaku ksh GK kan tamat deh ini,6d ago,Tiktok,netral
"karna rasa gantengg, pasti pacarnya tdk cuma kSR aja.selain KSR mash ada 2 atau 3 pacarnya KSH",6d ago,Tiktok,netral
masih sibuk bersih2,6d ago,Tiktok,netral
"wessss mbuh sakarepmu KSH,,",6d ago,Tiktok,netral
eps berapa sudah nih????,6d ago,Tiktok,netral
dia yg nanges gue yg malu??????,6d ago,Tiktok,netral
"udeh ah biarin dah dia mau pacaran ama siapa kek, bosen beritanya dia mulu",6d ago,Tiktok,netral
gua udah eneg ngikutin kasus ini ga kelar kelar. nunggu ending ajadah????,6d ago,Tiktok,netral
"kayaknya pengalihan biar gk ketahuan suka sama cewek yg paling muda kayak KSR,son yeonjae yg atlet msh dbawah umur deh",2d ago,Tiktok,netral
sakit,4d ago,Tiktok,netral
disini ak kasian Ama alm????????????keluarganya kok malah gini,4d ago,Tiktok,netral
pantengin trs gys jgn sampe tenggelem???? udh sebulan ga dgr ni kasus djkwjdnjwidjdnheh,5d ago,Tiktok,netral
tangisan laki2 Redlag ??????,5d ago,Tiktok,netral
Ga selesai selesai bejir,5d ago,Tiktok,netral
"BW cabang Korea, mana profesinya bener² Actor, Produser, Penulis dsb??",6d ago,Tiktok,netral
"Kau terlalu lama mengulur waktu mu, Aq jd capee dehhhh...
Eeddeeeehhh,,, berputar² muluuuu, kpn nie ""story end"" ?
???????????????",6d ago,Tiktok,netral
ututu jgn nanges star ksh,6d ago,Tiktok,netral
kemaren sempet ngebatin kok kasus nya tenggelem. nah ini keluar lagi??,6d ago,Tiktok,netral
"lebih percaya orang yang ada di situasi sebenarnya bukan berdasarkan katanya"" doang. kalau emang bener dan fakta mana yang kemarin koar"" sekarang ngilang yaa",6d ago,Tiktok,netral
kasian uri star kim sohyunn oppaa????????????????????,6d ago,Tiktok,netral
Susah bgt emng ngebuktiin biar waktu yg menjawab,6d ago,Tiktok,netral
